2020-05-12 22:50:27,119 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/deployment.properties
2020-05-12 22:50:27,124 WARN  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Deployment property file not found: null/deployment.properties
2020-05-12 22:50:27,846 INFO  [org.wso2.am.integration.test.utils.clients.APIStoreRestClient] - Login to Store https://localhost:9443/store as the user AppCreationPosSubscriber
2020-05-12 22:50:28,035 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:50:28,035 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "status" : "APPROVED"}
2020-05-12 22:50:28,066 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:50:28,067 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "applications" : [{"name" : "Application", "tier" : "Unlimited", "id" : 32, "status" : "APPROVED", "description" : "ApplicationDescription", "apiCount" : 0, "groupId" : "", "isBlacklisted" : false, "owner" : "AppCreationPosSubscriber", "tokenType" : "DEFAULT"}, {"name" : "DefaultApplication", "tier" : "Unlimited", "id" : 31, "status" : "APPROVED", "description" : null, "apiCount" : 0, "groupId" : "", "isBlacklisted" : false, "owner" : "AppCreationPosSubscriber", "tokenType" : "DEFAULT"}]}
2020-05-12 22:50:28,764 INFO  [org.wso2.am.scenario.tests.register.application.ApplicationCreationTestCases] - PRODUCTION key generation response for application 'Application' response data :{"error" : false, "data" : {"key" : {"tokenScope" : ["am_application_scope", "default"], "consumerSecret" : "a3iVW97Muzj0xbDD2ujqOxRKtoQa", "validityTime" : 360000, "tokenDetails" : "{\"scopes\":\"[am_application_scope, default]\",\"tokenState\":null}", "keyState" : "APPROVED", "appDetails" : "{\"tokenScope\":\"[default]\",\"validityPeriod\":\"360000\",\"callback_url\":\"some-url\",\"key_type\":\"PRODUCTION\",\"grant_types\":\"refresh_token urn:ietf:params:oauth:grant-type:saml2-bearer implicit password client_credentials iwa:ntlm authorization_code urn:ietf:params:oauth:grant-type:jwt-bearer\",\"redirect_uris\":\"some-url\",\"client_name\":\"AppCreationPosSubscriber_Application_PRODUCTION\",\"username\":\"AppCreationPosSubscriber\"}", "consumerKey" : "JiDkH8zK9hawSCZ0Rd2SKcRaRR0a", "accessToken" : "6cd70d04-5d64-30f9-99ab-69338d27d7b8", "enableRegenarate" : true}}}
2020-05-12 22:50:28,885 INFO  [org.wso2.am.scenario.tests.register.application.ApplicationCreationTestCases] - SANDBOX key generation response for application 'Application' response data :{"error" : false, "data" : {"key" : {"tokenScope" : ["am_application_scope", "default"], "consumerSecret" : "JtGTS0FlbBg5hlnRIv2MSoQQerka", "validityTime" : 360000, "tokenDetails" : "{\"scopes\":\"[am_application_scope, default]\",\"tokenState\":null}", "keyState" : "APPROVED", "appDetails" : "{\"tokenScope\":\"[default]\",\"validityPeriod\":\"360000\",\"callback_url\":\"some-url\",\"key_type\":\"SANDBOX\",\"grant_types\":\"refresh_token urn:ietf:params:oauth:grant-type:saml2-bearer implicit password client_credentials iwa:ntlm authorization_code urn:ietf:params:oauth:grant-type:jwt-bearer\",\"redirect_uris\":\"some-url\",\"client_name\":\"AppCreationPosSubscriber_Application_SANDBOX\",\"username\":\"AppCreationPosSubscriber\"}", "consumerKey" : "UYfGG5RefHRF28cVC3kdzYGOlrEa", "accessToken" : "ae846b5f-76f8-3dbb-9f44-85ec0c6ff30c", "enableRegenarate" : true}}}
2020-05-12 22:50:28,916 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Code : 200
2020-05-12 22:50:28,916 INFO  [org.wso2.am.scenario.test.common.ScenarioTestBase] - Response Message : {"error" : false, "status" : "APPROVED"}
